IdCliente;Fecha Nacimiento;Actividad Laboral;Estado Civil;Nivel Educacional;Tiene Mora;Saldo Medio Anual;Tiene Crédito Hipotecario;Tiene Crédito de Consumo;Medio de Contacto Preferente;Contactos con su Ejecutivo;Tiene Inversiones
1;17-02-1933;Jubilado;Divorciado;Universitario;No;2282000;No;No;Fono Particular;0;Si
2;17-02-1928;Jubilado;Casado;Enseñanza Media;No;0;No;No;Fono Particular;0;No
3;18-02-1930;Jubilado;Divorciado;Universitario;No;1234000;No;No;Celular;0;No
4;20-02-1931;Jubilado;Casado;Técnico Profesional;No;775000;No;No;Celular;7;Si
5;20-02-1931;Jubilado;Casado;Técnico Profesional;No;775000;No;No;Celular;9;Si
6;20-02-1932;Jubilado;Casado;Técnico Profesional;No;775000;No;No;Celular;0;Si
7;20-02-1932;Jubilado;Casado;Técnico Profesional;No;775000;No;No;Celular;3;Si
8;22-02-1934;Jubilado;Divorciado;Enseñanza Media;No;1000;No;No;Celular;0;No
9;22-02-1934;Jubilado;Divorciado;Universitario;No;712000;No;No;Fono Particular;0;Si
10;24-02-1938;Jubilado;Casado;Universitario;No;553000;No;No;Fono Particular;0;No
11;24-02-1934;Jubilado;Casado;Enseñanza Básica;No;0;No;No;Fono Particular;0;No
12;24-02-1934;Jubilado;Divorciado;Universitario;No;1323000;No;No;Fono Particular;1;No
13;24-02-1936;Jubilado;Casado;Universitario;No;433000;No;No;Fono Particular;1;No
14;24-02-1935;Jubilado;Casado;Universitario;No;648000;No;No;Fono Particular;0;No
15;25-02-1941;Jubilado;Divorciado;Universitario;No;6746000;No;No;Fono Particular;0;Si
16;25-02-1941;Jubilado;Casado;Universitario;No;230000;No;No;Celular;0;No
17;25-02-1937;Jubilado;Casado;Universitario;No;433000;No;No;Fono Particular;0;No
18;25-02-1939;Jubilado;Casado;Universitario;No;2190000;No;No;Fono Particular;0;Si
19;26-02-1944;Jubilado;Casado;Universitario;No;5236000;No;No;Fono Particular;0;Si
20;26-02-1945;Jubilado;Casado;Universitario;No;1817000;No;No;Celular;0;No
21;26-02-1937;Jubilado;Casado;Universitario;No;1503000;No;No;Fono Particular;1;No
22;26-02-1937;Jubilado;Casado;Enseñanza Básica;No;0;No;No;Celular;0;No
23;26-02-1939;Jubilado;Soltero;Universitario;No;614000;No;No;Fono Particular;0;Si
24;26-02-1937;Jubilado;Divorciado;Enseñanza Básica;No;0;No;No;Fono Particular;0;No
25;26-02-1941;Jubilado;Divorciado;Técnico Profesional;No;157000;No;No;Fono Particular;0;No
26;26-02-1941;Jubilado;Casado;Universitario;No;1255000;No;No;Celular;4;No
27;26-02-1941;Jubilado;Casado;Universitario;No;1255000;No;No;Fono Particular;3;Si
28;28-02-1946;Jubilado;Casado;Enseñanza Básica;No;98000;No;No;Celular;0;No
29;28-02-1946;Jubilado;Casado;Técnico Profesional;No;1934000;No;No;Fono Particular;0;No
30;28-02-1942;Jubilado;Casado;Universitario;No;1255000;No;No;Celular;0;Si
31;28-02-1938;Jubilado;Casado;Universitario;No;12114000;No;No;Fono Particular;0;Si
32;28-02-1946;Jubilado;Divorciado;Universitario;No;7613000;No;No;Celular;0;Si
33;28-02-1945;Jubilado;Casado;Universitario;No;81204000;No;No;Fono Particular;3;Si
34;28-02-1939;Jubilado;Divorciado;Universitario;No;639000;No;No;Fono Particular;0;Si
35;28-02-1939;Jubilado;Divorciado;Universitario;No;2619000;No;No;Fono Particular;2;No
36;28-02-1945;Jubilado;Divorciado;Universitario;No;1680000;No;No;Fono Particular;3;No
37;28-02-1939;Jubilado;Casado;Universitario;No;4761000;No;No;Fono Particular;3;Si
38;28-02-1939;Obrero;Casado;Enseñanza Media;No;0;No;No;Fono Particular;0;No
39;28-02-1940;Jubilado;Casado;Universitario;No;1702000;No;No;Fono Particular;0;No
40;28-02-1945;Jubilado;Casado;Universitario;No;81204000;No;No;Fono Particular;2;Si
41;28-02-1939;Jubilado;Casado;Universitario;No;1791000;No;No;Fono Particular;0;No
42;01-03-1942;Jubilado;Divorciado;Enseñanza Básica;No;20000;No;No;Celular;0;No
43;01-03-1940;Jubilado;Divorciado;Enseñanza Básica;No;0;No;No;Fono Particular;0;No
44;01-03-1944;Jubilado;Casado;Técnico Profesional;No;4216000;No;No;Celular;0;No
45;01-03-1948;Jubilado;Casado;Universitario;No;6236000;No;No;Celular;3;No
46;01-03-1943;Jubilado;Soltero;Universitario;No;1965000;No;No;Fono Particular;0;Si
47;01-03-1942;Jubilado;Casado;Universitario;No;425000;No;No;Fono Particular;2;Si
48;01-03-1940;Jubilado;Divorciado;Universitario;No;2619000;No;No;Fono Particular;0;No
49;01-03-1948;Jubilado;Casado;Universitario;No;6236000;No;No;Celular;2;No
50;01-03-1942;Jubilado;Divorciado;Universitario;No;4565000;No;No;Celular;0;No
51;01-03-1947;Trabajador Dependiente;Casado;Enseñanza Básica;No;2140000;No;No;Celular;8;No
52;01-03-1944;Trabajador Dependiente;Divorciado;Enseñanza Básica;No;5944000;No;No;Celular;0;No
53;01-03-1940;Jubilado;Casado;Universitario;No;4761000;No;No;Fono Particular;1;No
54;01-03-1940;Jubilado;Casado;Enseñanza Media;No;0;No;No;Fono Particular;2;No
55;01-03-1940;Jubilado;Divorciado;Enseñanza Básica;No;0;No;No;Fono Particular;3;No
56;01-03-1942;Jubilado;Casado;Universitario;No;425000;No;No;Fono Particular;1;Si
57;01-03-1941;Jubilado;Soltero;Universitario;No;3349000;No;No;Fono Particular;0;No
58;01-03-1940;Jubilado;Casado;Universitario;No;4761000;No;No;Fono Particular;0;Si
59;01-03-1948;Jubilado;Divorciado;Universitario;No;1097000;No;No;Fono Particular;0;Si
